ticker,rating_date,year_qtr,rating_simplified,investment_grade,filing_path
WHR,2015-11-27,2015_Q4,A,1,sec_filings/WHR/2015_Q4.txt
WHR,2014-02-13,2014_Q1,BBB,1,sec_filings/WHR/2014_Q1.txt
WHR,2015-03-06,2015_Q1,BBB,1,sec_filings/WHR/2015_Q1.txt
WHR,2012-06-15,2012_Q2,BBB,1,sec_filings/WHR/2012_Q2.txt
WHR,2016-10-24,2016_Q4,BBB,1,sec_filings/WHR/2016_Q4.txt
SLB,2014-07-18,2014_Q3,AA,1,sec_filings/SLB/2014_Q3.txt
SLB,2014-05-13,2014_Q2,AA,1,sec_filings/SLB/2014_Q2.txt
SLB,2015-07-23,2015_Q3,A,1,sec_filings/SLB/2015_Q3.txt
HON,2014-04-29,2014_Q2,AA,1,sec_filings/HON/2014_Q2.txt
HON,2016-02-16,2016_Q1,A,1,sec_filings/HON/2016_Q1.txt
HON,2015-04-21,2015_Q2,AA,1,sec_filings/HON/2015_Q2.txt
SYY,2015-06-01,2015_Q2,A,1,sec_filings/SYY/2015_Q2.txt
SYY,2014-06-05,2014_Q2,A,1,sec_filings/SYY/2014_Q2.txt
SYY,2015-11-03,2015_Q4,BBB,1,sec_filings/SYY/2015_Q4.txt
SYY,2013-05-07,2013_Q2,A,1,sec_filings/SYY/2013_Q2.txt
PM,2016-03-21,2016_Q1,A,1,sec_filings/PM/2016_Q1.txt
PM,2013-07-04,2013_Q3,A,1,sec_filings/PM/2013_Q3.txt
PM,2013-02-12,2013_Q1,A,1,sec_filings/PM/2013_Q1.txt
PM,2014-10-17,2014_Q4,A,1,sec_filings/PM/2014_Q4.txt
PM,2012-06-15,2012_Q2,A,1,sec_filings/PM/2012_Q2.txt
T,2014-10-28,2014_Q4,A,1,sec_filings/T/2014_Q4.txt
T,2012-06-15,2012_Q2,A,1,sec_filings/T/2012_Q2.txt
T,2016-10-24,2016_Q4,BBB,1,sec_filings/T/2016_Q4.txt
T,2012-11-28,2012_Q4,A,1,sec_filings/T/2012_Q4.txt
DUK,2013-09-27,2013_Q3,A,1,sec_filings/DUK/2013_Q3.txt
DUK,2015-05-26,2015_Q2,AA,1,sec_filings/DUK/2015_Q2.txt
DUK,2015-09-22,2015_Q3,AA,1,sec_filings/DUK/2015_Q3.txt
DUK,2013-06-10,2013_Q2,A,1,sec_filings/DUK/2013_Q2.txt
DUK,2012-06-15,2012_Q2,BBB,1,sec_filings/DUK/2012_Q2.txt
DUK,2016-08-10,2016_Q3,BBB,1,sec_filings/DUK/2016_Q3.txt
DHR,2014-04-28,2014_Q2,AA,1,sec_filings/DHR/2014_Q2.txt
DHR,2014-07-18,2014_Q3,AA,1,sec_filings/DHR/2014_Q3.txt
DHR,2015-10-27,2015_Q4,A,1,sec_filings/DHR/2015_Q4.txt
DHR,2012-06-15,2012_Q2,A,1,sec_filings/DHR/2012_Q2.txt
CACI,2016-04-19,2016_Q2,BB,0,sec_filings/CACI/2016_Q2.txt
CACI,2014-11-26,2014_Q4,BB,0,sec_filings/CACI/2014_Q4.txt
CACI,2013-10-25,2013_Q4,BB,0,sec_filings/CACI/2013_Q4.txt
CACI,2016-09-29,2016_Q3,BB,0,sec_filings/CACI/2016_Q3.txt
SWX,2014-09-04,2014_Q3,A,1,sec_filings/SWX/2014_Q3.txt
SWX,2012-06-15,2012_Q2,BBB,1,sec_filings/SWX/2012_Q2.txt
SWX,2014-04-02,2014_Q2,AA,1,sec_filings/SWX/2014_Q2.txt
SWX,2011-04-27,2011_Q2,BBB,1,sec_filings/SWX/2011_Q2.txt
SWX,2013-05-28,2013_Q2,A,1,sec_filings/SWX/2013_Q2.txt
SWX,2016-01-21,2016_Q1,AA,1,sec_filings/SWX/2016_Q1.txt
AMOV,2012-06-15,2012_Q2,A,1,sec_filings/AMOV/2012_Q2.txt
NKTR,2015-11-20,2015_Q4,B,0,sec_filings/NKTR/2015_Q4.txt
NKTR,2015-04-01,2015_Q2,B,0,sec_filings/NKTR/2015_Q2.txt
NKTR,2014-04-14,2014_Q2,B,0,sec_filings/NKTR/2014_Q2.txt
NKTR,2013-06-17,2013_Q2,CCC,0,sec_filings/NKTR/2013_Q2.txt
WEC,2015-05-15,2015_Q2,A,1,sec_filings/WEC/2015_Q2.txt
WEC,2013-12-05,2013_Q4,BBB,1,sec_filings/WEC/2013_Q4.txt
WEC,2015-09-14,2015_Q3,A,1,sec_filings/WEC/2015_Q3.txt
