ticker,year_qtr,error
AMOV,2012_Q2,no_filings_found_or_downloaded
EPAY,2014_Q4,no_filings_found_or_downloaded
EPAY,2015_Q4,no_filings_found_or_downloaded
LB,2015_Q1,no_filings_found_or_downloaded
LB,2013_Q3,no_filings_found_or_downloaded
LB,2015_Q4,no_filings_found_or_downloaded
UFS,2015_Q4,no_filings_found_or_downloaded
UFS,2014_Q2,no_filings_found_or_downloaded
UFS,2012_Q2,no_filings_found_or_downloaded
UFS,2015_Q1,no_filings_found_or_downloaded
UFS,2012_Q3,no_filings_found_or_downloaded
TOT,2012_Q2,no_filings_found_or_downloaded
TOT,2005_Q3,no_filings_found_or_downloaded
NAV,2012_Q3,no_filings_found_or_downloaded
NAV,2013_Q4,no_filings_found_or_downloaded
NAV,2012_Q2,no_filings_found_or_downloaded
NAV,2015_Q3,no_filings_found_or_downloaded
NAV,2014_Q3,no_filings_found_or_downloaded
DNR,2013_Q3,no_filings_found_or_downloaded
DNR,2016_Q1,no_filings_found_or_downloaded
DNR,2014_Q3,no_filings_found_or_downloaded
DNR,2012_Q2,no_filings_found_or_downloaded
DNR,2013_Q1,no_filings_found_or_downloaded
RIO,2015_Q1,no_filings_found_or_downloaded
RIO,2016_Q1,no_filings_found_or_downloaded
RIO,2014_Q2,no_filings_found_or_downloaded
RIO,2012_Q2,no_filings_found_or_downloaded
WPP,2014_Q3,no_filings_found_or_downloaded
WPP,2015_Q3,no_filings_found_or_downloaded
WPP,2013_Q3,no_filings_found_or_downloaded
WPP,2012_Q2,no_filings_found_or_downloaded
KSU,2015_Q4,no_filings_found_or_downloaded
VOD,2016_Q2,no_filings_found_or_downloaded
ABB,2012_Q2,no_filings_found_or_downloaded
ABB,2013_Q3,no_filings_found_or_downloaded
ABB,2015_Q2,no_filings_found_or_downloaded
ABB,2015_Q3,no_filings_found_or_downloaded
BCE,2014_Q3,no_filings_found_or_downloaded
BCE,2013_Q4,no_filings_found_or_downloaded
BCE,2013_Q2,no_filings_found_or_downloaded
BCE,2012_Q2,no_filings_found_or_downloaded
BCE,2011_Q2,no_filings_found_or_downloaded
BCE,2015_Q3,no_filings_found_or_downloaded
BCE,2016_Q3,no_filings_found_or_downloaded
MYL,2016_Q2,no_filings_found_or_downloaded
MYL,2016_Q4,no_filings_found_or_downloaded
TIF,2014_Q3,no_filings_found_or_downloaded
TIF,2016_Q1,no_filings_found_or_downloaded
